500
2228
2
3	102	7	11
3	116	7	11
3	73	8	10
122	99	6	10
122	125	5	11
122	115	6	11
122	86	6	11
122	80	6	11
122	52	6	11
122	83	6	11
122	48	6	10
17	23	6	11
17	12	6	10
66	18	7	11
66	90	7	10
66	110	7	11
66	51	7	10
26	97	7	10
26	90	8	10
45	94	6	10
45	150	6	11
45	93	7	10
109	96	7	11
109	138	7	10
109	117	7	11
109	114	7	11
109	49	7	10
102	136	7	11
102	44	7	10
102	112	7	11
102	140	7	11
102	116	7	11
102	139	7	11
102	32	7	11
102	25	7	11
102	141	7	11
102	61	7	11
102	146	7	10
99	18	7	10
99	83	7	11
136	3	8	10
136	112	7	11
136	140	7	11
136	139	7	11
136	141	7	11
136	39	7	11
136	73	7	11
136	146	7	11
85	100	6	11
85	87	6	11
85	7	6	10
85	149	5	11
85	127	6	10
85	29	7	10
85	124	6	10
85	143	5	11
120	26	6	10
120	34	7	11
120	128	6	11
120	72	6	10
120	150	6	11
120	145	7	11
125	17	6	11
125	99	6	10
125	53	7	11
125	63	7	11
125	23	5	11
125	62	7	11
125	89	7	10
125	65	6	10
125	67	6	11
125	86	7	10
125	24	6	10
125	51	7	11
44	112	7	11
44	121	7	10
44	140	7	11
44	116	7	11
44	70	7	11
44	79	7	11
44	146	7	11
112	82	7	10
133	69	7	11
121	134	7	10
121	94	7	10
121	60	7	11
121	31	7	10
121	128	7	10
121	41	7	11
121	10	7	11
121	50	7	11
121	113	7	11
76	45	7	10
76	134	7	10
76	36	7	11
76	105	7	11
76	111	7	10
27	26	6	11
27	100	6	10
27	40	5	10
27	75	6	10
27	62	6	11
27	65	6	10
27	97	7	10
27	149	5	10
27	123	7	10
27	41	6	11
27	127	6	11
27	143	5	11
27	108	7	10
134	45	7	10
134	111	7	10
46	96	6	11
46	114	6	11
46	93	7	11
46	49	7	11
53	27	6	10
53	5	6	11
53	16	6	11
53	90	6	11
38	109	8	10
38	130	7	11
38	81	7	11
38	104	7	11
38	84	7	11
38	138	7	11
38	95	7	10
38	117	8	10
38	49	7	11
38	57	8	11
38	42	7	11
19	13	6	11
19	142	6	10
19	144	6	11
19	16	7	11
19	89	6	11
19	4	7	11
19	145	7	11
19	103	6	11
19	77	6	11
19	50	6	11
19	71	7	10
94	26	6	10
94	120	6	10
94	133	6	11
94	134	6	11
94	119	6	10
94	5	6	10
94	23	6	10
94	74	7	10
94	126	6	11
94	54	6	10
94	64	6	10
94	128	6	11
94	98	6	11
94	28	6	11
94	150	6	11
94	65	6	11
94	149	6	11
94	12	6	10
94	95	6	11
94	141	6	10
94	135	6	11
94	10	6	11
94	77	6	10
94	110	6	10
94	106	6	11
94	50	6	11
94	113	6	10
100	26	7	10
100	99	6	11
100	75	7	11
100	97	7	11
100	7	6	11
100	4	6	10
100	123	7	10
100	110	6	10
100	127	6	11
100	29	7	10
100	124	6	10
100	71	7	10
88	102	7	10
88	136	7	10
88	141	7	10
88	39	7	10
132	120	8	10
132	76	7	11
132	134	7	11
132	60	8	10
132	37	7	11
132	111	7	11
119	102	8	10
119	112	7	11
119	121	7	10
119	37	7	10
119	90	7	11
119	91	7	10
96	38	7	11
96	8	7	11
96	130	6	11
96	104	6	11
96	4	7	10
96	114	6	10
96	49	6	11
13	66	7	11
13	142	6	11
13	63	7	11
13	64	6	11
13	16	7	10
13	128	6	11
13	90	7	11
13	148	8	10
60	85	6	10
60	76	7	10
60	134	5	10
60	94	6	11
60	33	5	11
60	98	6	10
60	150	5	11
60	7	7	10
60	149	5	10
60	80	7	11
60	10	5	10
60	91	6	11
60	106	6	10
60	143	5	11
5	27	6	11
5	19	6	11
5	144	6	11
5	34	7	11
5	54	6	11
5	90	7	11
5	67	6	11
5	12	5	10
5	86	6	10
5	103	5	11
5	50	6	11
5	21	7	10
140	6	7	10
78	112	7	11
78	119	7	10
78	107	8	10
142	66	7	10
142	148	7	11
55	99	6	11
55	120	7	10
55	94	6	11
55	132	7	11
55	37	7	10
55	126	6	11
55	36	6	11
55	64	6	10
55	128	6	11
55	87	6	11
55	135	6	10
118	145	6	10
116	136	7	11
116	112	7	10
116	140	7	10
116	146	7	10
63	72	7	10
63	65	7	10
63	87	7	10
40	26	7	10
40	85	5	10
40	125	6	11
40	100	6	11
40	96	5	11
40	13	7	10
40	60	7	10
40	75	7	11
40	54	5	11
40	97	7	11
40	149	5	11
40	41	6	11
40	22	7	11
40	50	5	11
40	143	7	11
40	57	6	11
40	71	6	10
33	66	6	10
33	94	6	11
33	55	6	11
33	1	6	10
33	23	6	11
33	74	6	11
33	126	6	11
33	64	6	10
33	128	5	11
33	87	6	10
33	59	6	10
33	95	6	10
33	135	7	11
33	41	5	11
33	10	7	10
33	43	6	11
33	110	6	11
33	106	6	11
33	113	6	11
1	66	7	11
1	91	8	11
6	102	7	11
6	136	7	11
6	88	7	11
6	116	7	11
6	70	7	11
6	139	7	10
23	27	7	10
23	19	6	10
23	119	6	11
23	55	6	11
23	63	6	10
23	75	6	10
23	126	6	10
23	64	6	11
23	128	6	11
23	28	6	11
23	89	6	11
23	65	6	10
23	87	7	11
23	67	6	11
23	145	6	10
23	123	6	11
23	135	6	11
23	52	6	11
23	110	6	11
23	24	6	10
2	122	6	10
2	26	7	11
2	133	7	11
2	12	6	11
2	145	6	11
2	56	7	10
2	135	6	10
2	68	6	10
2	108	6	11
75	65	7	10
144	26	7	10
144	118	7	11
144	34	7	11
144	145	7	10
34	118	6	11
34	23	8	10
34	89	7	10
34	72	7	10
34	145	6	11
34	56	7	11
34	79	7	10
34	71	7	10
31	26	7	10
31	44	6	10
31	94	6	11
31	119	7	10
31	96	6	11
31	55	7	10
31	33	7	10
31	2	7	11
31	128	6	11
31	72	6	10
31	130	6	10
31	150	7	10
31	104	7	10
31	87	7	10
31	58	6	11
31	59	6	11
31	145	7	11
31	141	7	11
31	135	6	11
31	41	6	10
31	10	5	11
31	79	6	11
31	93	7	11
31	30	6	10
31	92	7	11
31	49	6	10
31	106	6	11
31	50	6	10
31	57	7	10
31	113	7	11
37	120	7	11
37	36	7	10
37	107	6	11
126	66	6	10
126	1	6	11
126	128	6	11
126	150	7	11
126	87	6	11
126	14	7	10
126	145	6	11
126	135	7	11
126	10	6	10
126	43	6	11
62	100	6	11
62	40	6	11
62	8	6	10
62	149	5	11
62	14	7	10
62	41	6	10
62	127	6	11
54	33	7	11
54	62	7	11
54	131	7	10
54	128	6	11
54	97	7	11
54	18	7	11
54	90	7	11
54	93	7	11
54	52	7	10
